,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
224,Ceat Tyres,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 93 more",64 years old,5k-10k Employees (India)
225,ACC,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 169 more",86 years old,5k-10k Employees (India)
226,Rivigo,3.9,(1.7k Reviews),Private,"Gurgaon,Haryana + 144 more",8 years old,1k-5k Employees (India)
227,Capita,3.9,(1.7k Reviews),Private,"Indore,Madhya Pradesh + 16 more",17 years old,1k-5k Employees (India)
228,L&T Technology S...,3.4,(1.6k Reviews),Public,"Vadodara/Baroda,Gujarat + 23 more",10 years old,10k-50k Employees (India)
229,Bank of America,4.5,(2.8k Reviews),Private,Charlotte + 26 more,24 years old,10k-50k Employees (India)
230,Tata AIA Life In...,4.0,(1.6k Reviews),Private,"Mumbai,Maharashtra + 189 more",21 years old,5k-10k Employees (India)
231,Radisson Hotels,3.8,(1.7k Reviews),Private,"Minnetonka,Minnesota + 89 more",113 years old,10k-50k Employees (India)
232,Dilip Buildcon,4.1,(1.6k Reviews),Public,"Bhopal,Madhya Pradesh + 132 more",35 years old,10k-50k Employees (India)
233,KPIT Technologie...,3.6,(1.6k Reviews),Public,"Pune,Maharashtra + 20 more",32 years old,5k-10k Employees (India)
234,RBL Bank,3.8,(1.6k Reviews),Public,"Mumbai,Maharashtra + 174 more",79 years old,1k-5k Employees (India)
235,Ekart Logistics,4.3,(1.6k Reviews),Private,"San Francisco,California + 379 more",13 years old,1k-5k Employees (India)
236,PNB MetLife,3.7,(1.6k Reviews),Private,"Mumbai,Maharashtra + 232 more",21 years old,5k-10k Employees (India)
237,ITC Infotech In...,3.6,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 39 more",22 years old,5k-10k Employees (India)
238,Patanjali Ayurve...,4.1,(1.6k Reviews),Private,"Haridwar,Uttarakhand + 214 more",16 years old,5k-10k Employees (India)
239,Dabur,4.1,(1.6k Reviews),Public,"Ghaziabad,Uttar Pradesh + 180 more",138 years old,5k-10k Employees (India)
240,Kotak Mahindara ...,3.9,(1.6k Reviews),Public,"Mumbai,Maharashtra + 158 more",21 years old,5k-10k Employees (India)
241,Apollo Tyres,4.2,(1.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 127 more",50 years old,5k-10k Employees (India)
242,Biocon Biologics...,4.0,(1.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 56 more",44 years old,10k-50k Employees (India)
243,HDFC Ergo Genera...,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 169 more",20 years old,1k-5k Employees (India)
244,Landmark Group,4.3,(4.6k Reviews),Private,"Dubai Marina,Dubai + 100 more",49 years old,1k-5k Employees (India)
245,Eureka Forbes,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 145 more",40 years old,5k-10k Employees (India)
246,Ola Cabs,3.6,(2.1k Reviews),Private,Bangalore + 82 more,12 years old,10k-50k Employees (India)
247,JK Cement,4.2,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 181 more",48 years old,1k-5k Employees (India)
248,Fortis Healthcar...,4.0,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 53 more",26 years old,5k-10k Employees (India)
249,Lifestyle,4.4,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 90 more",8 years old,10k-50k Employees (India)
250,Max Healthcare,4.2,(1.6k Reviews),Partnership,"Delhi/NCR,New Delhi + 50 more",21 years old,1k-5k Employees (India)
251,Suzuki,4.1,(7.1k Reviews),Private,"Vadodara/Baroda,Gujarat + 128 more",8 years old,1k-5k Employees (India)
252,Escorts Group,4.2,(1.7k Reviews),Public,"Faridabad,Haryana + 93 more",62 years old,5k-10k Employees (India)
253,GeBBS Healthcare...,3.9,(1.5k Reviews),Private,"Culver City,California + 11 more",17 years old,5k-10k Employees (India)
254,Pfizer,4.2,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 94 more",18 years old,1k-5k Employees (India)
255,Berger Paints,3.8,(1.6k Reviews),Public,"Kolkata,West Bengal + 175 more",99 years old,1k-5k Employees (India)
256,HCL Infosystems,3.9,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 98 more",46 years old,10k-50k Employees (India)
257,Fiserv,3.9,(1.5k Reviews),Private,"Brookfield,Wisconsin + 26 more",51 years old,501-1k Employees (India)
258,Blue Dart Expres...,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 183 more",39 years old,10k-50k Employees (India)
259,Nestle,4.1,(1.6k Reviews),Public,Vevey + 178 more,63 years old,10k-50k Employees (India)
260,Utkarsh Small Fi...,4.0,(1.5k Reviews),Public,"Varanasi,Uttar Pradesh + 202 more",13 years old,1k-5k Employees (India)
261,Aakash Institute,3.6,(1.7k Reviews),Private,"New Delhi,Delhi + 134 more",34 years old,1k-5k Employees (India)
262,G4S,4.2,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 95 more",26 years old,1 Lakh+ Employees (India)
263,JMC Projects,4.3,(1.5k Reviews),Public,"Mumbai,Maharashtra + 89 more",40 years old,1k-5k Employees (India)
264,Mankind Pharma,4.2,(1.7k Reviews),Private,"New Delhi,Delhi + 139 more",27 years old,5k-10k Employees (India)
265,Reliance Digital,4.3,(1.5k Reviews),Private,"Mumbai,Maharashtra + 210 more",15 years old,1k-5k Employees (India)
266,Tata AIG General...,4.1,(1.5k Reviews),Private,"Mumbai,Maharashtra + 177 more",22 years old,5k-10k Employees (India)
267,Life Insurance C...,4.3,(1.5k Reviews),Private,Mumbai + 340 more,66 years old,1 Lakh+ Employees (India)
268,Aarti Industries,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 31 more",47 years old,1k-5k Employees (India)
269,AFCONS Infrastru...,4.5,(1.5k Reviews),Partnership,"Mumbai,Maharashtra + 71 more",63 years old,5k-10k Employees (India)
270,PolicyBazaar,3.7,(1.5k Reviews),Public,"Gurgaon,Haryana + 29 more",14 years old,5k-10k Employees (India)
271,Cogent E Service...,3.4,(1.5k Reviews),Private,"Noida,Uttar Pradesh + 27 more",18 years old,10k-50k Employees (India)
272,Sapient Corporat...,3.9,(1.6k Reviews),Private,"New York,New York + 15 more",32 years old,10k-50k Employees (India)
273,IndiGo,3.5,(1.4k Reviews),Private,"Boston,Massachusetts + 70 more",17 years old,10k-50k Employees (India)
274,Voltas,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 134 more",68 years old,5k-10k Employees (India)
275,Delhi Public Sch...,3.9,(1.4k Reviews),Public,"Greater Noida,Uttar Pradesh + 203 more",24 years old,1k-5k Employees (India)
276,ADP Solutions,4.3,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 10 more",23 years old,1k-5k Employees (India)
277,R1 RCM,4.0,(1.4k Reviews),Private,"Murray,Utah + 15 more",19 years old,1k-5k Employees (India)
278,I Process Servic...,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 199 more",17 years old,1k-5k Employees (India)
279,Raymond,4.1,(1.7k Reviews),Public,New York + 103 more,97 years old,1k-5k Employees (India)
280,Access Healthcar...,4.1,(1.4k Reviews),Private,"Dallas,Texas + 16 more",11 years old,1k-5k Employees (India)
281,Persistent Syste...,4.2,(1.4k Reviews),Public,"Pune,Maharashtra + 7 more",32 years old,10k-50k Employees (India)
282,Birla Sun Life I...,4.3,(1.4k Reviews),Private,"Mumbai,Maharashtra + 272 more",22 years old,10k-50k Employees (India)
283,Exide Industries,3.8,(2.7k Reviews),Public,"Kolkata,West Bengal + 159 more",75 years old,1k-5k Employees (India)
284,NIIT Technologie...,3.5,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 77 more",18 years old,5k-10k Employees (India)
285,Aditya Birla Gro...,4.2,(13.5k Reviews),"Mumbai,Maharashtra + 185 more",165 years old,1 Lakh+ Employees (India),
286,PVR Cinemas,4.3,(1.4k Reviews),Public,Gurgaon + 89 more,25 years old,1k-5k Employees (India)
287,BHEL,4.3,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 83 more",58 years old,10k-50k Employees (India)
288,Micro Labs,3.8,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 96 more",49 years old,5k-10k Employees (India)
289,ACT Fibernet,4.1,(1.4k Reviews),Private,"Daegu,Daegu + 32 more",22 years old,5k-10k Employees (India)
290,United Phosphoru...,4.3,(1.4k Reviews),Public,"Mumbai,Maharashtra + 111 more",53 years old,1k-5k Employees (India)
291,Zensar Technolog...,3.8,(1.4k Reviews),Public,"Pune,Maharashtra + 17 more",31 years old,10k-50k Employees (India)
292,R.R. Donnelley,4.1,(1.4k Reviews),Private,"Chicago,Illinois + 9 more",158 years old,5k-10k Employees (India)
293,DHFL,4.6,(1.4k Reviews),Public,"Mumbai,Maharashtra + 191 more",38 years old,1k-5k Employees (India)
294,Ajanta Pharma,4.0,(1.3k Reviews),Public,"Mumbai,Maharashtra + 83 more",49 years old,1k-5k Employees (India)
295,Walmart,4.2,(11.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 68 more",13 years old,5k-10k Employees (India)
296,Poonawalla Finco...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 242 more",34 years old,5k-10k Employees (India)
297,The Himalaya Dru...,4.2,(1.3k Reviews),Private,"San Francisco,California + 148 more",92 years old,1k-5k Employees (India)
298,Renault-Nissan,4.1,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 62 more",12 years old,5k-10k Employees (India)
299,Statestreet HCL ...,3.4,(1.3k Reviews),Private,New Delhi + 10 more,10 years old,5k-10k Employees (India)
300,Cholamandalam MS...,4.0,(1.3k Reviews),JV,"Chennai,Tamil Nadu + 265 more",21 years old,50k-1 Lakh Employees (India)
301,Emcure Pharmaceu...,4.1,(1.4k Reviews),Private,Pune + 78 more,41 years old,5k-10k Employees (India)
302,InterGlobe Techn...,3.7,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 30 more",24 years old,1k-5k Employees (India)
303,Birlasoft,3.8,(1.3k Reviews),Public,"Pune,Maharashtra + 23 more",27 years old,5k-10k Employees (India)
304,Blue Star,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 100 more",79 years old,1k-5k Employees (India)
305,Honda,4.2,(3.2k Reviews),Private,"Greater Noida,Uttar Pradesh + 164 more",37 years old,5k-10k Employees (India)
306,Exide Life Insur...,3.7,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 183 more",21 years old,1k-5k Employees (India)
307,HDFC Sales,4.1,(1.3k Reviews),Private,"Mumbai,Maharashtra + 211 more",18 years old,10k-50k Employees (India)
308,Sterling & Wilso...,4.2,(1.3k Reviews),Private,Mumbai + 67 more,95 years old,1k-5k Employees (India)
309,Britannia,4.2,(1.3k Reviews),Public,"Reading,Reading + 158 more",130 years old,1k-5k Employees (India)
310,café Coffee day,4.1,(1.3k Reviews),Private,"Bengaluru,Karnataka + 79 more",26 years old,1k-5k Employees (India)
311,AGS Health,4.1,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 19 more",11 years old,5k-10k Employees (India)
312,TVS Sundram Fast...,3.9,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 34 more",56 years old,5k-10k Employees (India)
313,Tata Technologie...,3.5,(1.3k Reviews),Private,Singapore + 31 more,33 years old,5k-10k Employees (India)
314,Sonalika Tractor...,3.9,(1.3k Reviews),Private,"Hoshiarpur,Punjab + 119 more",53 years old,1k-5k Employees (India)
315,Dalmia Bharat Ce...,4.1,(1.3k Reviews),Public,"Delhi/NCR,New Delhi + 135 more",87 years old,1k-5k Employees (India)
316,Mahindra Holiday...,3.8,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 85 more",26 years old,1k-5k Employees (India)
317,Big Bazaar,4.2,(1.3k Reviews),Private,"Mumbai,Maharashtra + 148 more",21 years old,10k-50k Employees (India)
318,Shahi Exports,4.1,(1.3k Reviews),Private,"Faridabad,Haryana + 49 more",48 years old,1 Lakh+ Employees (India)
319,Bhushan Power & ...,3.9,(1.3k Reviews),Private,"Delhi/NCR,New Delhi + 48 more",52 years old,501-1k Employees (India)
320,Mahindra Rural H...,4.2,(1.3k Reviews),Public,"Mumbai,Maharashtra + 295 more",15 years old,5k-10k Employees (India)
321,Lenskart,3.0,(1.2k Reviews),Private,"Delhi,NCT + 98 more",12 years old,1k-5k Employees (India)
322,Societe Generale,3.9,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,1k-5k Employees (India)
323,Johnson Controls,4.0,(2k Reviews),Public,Cork + 50 more,27 years old,5k-10k Employees (India)
324,Legato Health Te...,4.1,(1.2k Reviews),LLP,"Bangalore/Bengaluru,Karnataka + 8 more",5 years old,5k-10k Employees (India)
325,Ambuja Cements,4.0,(1.2k Reviews),Public,"Mumbai,Maharashtra + 161 more",39 years old,5k-10k Employees (India)
326,Indian Navy,4.6,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 56 more",72 years old,50k-1 Lakh Employees (India)
327,Force Motors,3.4,(1.2k Reviews),Public,"Pune,Maharashtra + 72 more",64 years old,1k-5k Employees (India)
328,UNO Minda,4.1,(1.2k Reviews),Gurgaon + 57 more,64 years old,1k-5k Employees (India),
329,Brakes India,4.2,(1.2k Reviews),"Chennai,Tamil Nadu + 54 more",60 years old,1k-5k Employees (India),
330,Thomson Reuters,4.3,(1.3k Reviews),Private,Toronto + 17 more,28 years old,10k-50k Employees (India)
331,3i Infotech,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 82 more",29 years old,5k-10k Employees (India)
332,TVS Credit Servi...,4.3,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 197 more",14 years old,10k-50k Employees (India)
333,Wockhardt,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 68 more",23 years old,5k-10k Employees (India)
334,Sobha,4.0,(1.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 33 more",27 years old,1k-5k Employees (India)
335,JK Tyres,3.9,(1.2k Reviews),Private,New Delhi + 107 more,71 years old,1k-5k Employees (India)
336,Indiabulls,3.8,(3.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 141 more",22 years old,10k-50k Employees (India)
337,Shriram City,4.2,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 336 more",36 years old,10k-50k Employees (India)
338,Whirlpool,4.3,(1.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 110 more",20 years old,1k-5k Employees (India)
339,Saint-Gobain,4.1,(1.3k Reviews),Private,Paris + 68 more,357 years old,10k-50k Employees (India)
340,Indus Towers,4.1,(1.2k Reviews),Private,"Gurgaon,Haryana + 96 more",15 years old,1k-5k Employees (India)
341,Parle Agro,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 131 more",38 years old,1k-5k Employees (India)
342,DS Group,4.1,(1.3k Reviews),Private,"Noida,Uttar Pradesh + 118 more",93 years old,1k-5k Employees (India)
343,V-mart,4.4,(1.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 187 more",20 years old,5k-10k Employees (India)
344,Crompton Greaves,3.9,(1.2k Reviews),Public,"Mumbai,Maharashtra + 86 more",85 years old,1k-5k Employees (India)
345,Amara Raja Group,4.2,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",37 years old,10k-50k Employees (India)
346,Shree Cement,4.3,(1.2k Reviews),Public,"Kolkata,West Bengal + 130 more",43 years old,5k-10k Employees (India)
347,GVK Emergency Ma...,3.8,(1.2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 100 more",17 years old,10k-50k Employees (India)
348,GE,4.2,(2.1k Reviews),Private,"Boston,Massachusetts + 53 more",130 years old,10k-50k Employees (India)
349,GSK Pharmaceutic...,4.3,(1.2k Reviews),Middlesex + 132 more,192 years old,1k-5k Employees (India),
350,Tech Mahindra Bu...,3.6,(1.2k Reviews),Public,"Mumbai,Maharashtra + 31 more",19 years old,1k-5k Employees (India)
351,Adani Power,4.1,(1.4k Reviews),Public,"Ahmedabad,Gujrat + 80 more",16 years old,1k-5k Employees (India)
352,Reliance SMSL,4.1,(1.2k Reviews),Public,Mumbai + 302 more,15 years old,1k-5k Employees (India)
353,Tata Motors Fina...,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 200 more",65 years old,1k-5k Employees (India)
354,Bharti AXA Life ...,3.9,(1.2k Reviews),Private,Mumbai + 193 more,16 years old,5k-10k Employees (India)
355,Reliance Trends,4.4,(1.2k Reviews),Private,"Navi Mumbai,Maharashtra + 239 more",16 years old,1 Lakh+ Employees (India)
356,Datamatics Globa...,3.7,(1.6k Reviews),Public,Mumbai + 23 more,47 years old,1k-5k Employees (India)
357,Novartis Healthc...,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 59 more",26 years old,1k-5k Employees (India)
358,Sterlite Technol...,4.2,(1.1k Reviews),Public,"Pune,Maharashtra + 52 more",34 years old,5k-10k Employees (India)
359,SRF,4.3,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 40 more",52 years old,1k-5k Employees (India)
360,Delphi TVS,4.0,(1.1k Reviews),Private,"Kanchipuram,Tamil Nadu + 24 more",33 years old,1k-5k Employees (India)
361,Quest Global,3.6,(1.1k Reviews),Private,Singapore + 23 more,25 years old,10k-50k Employees (India)
362,Lodha group,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 17 more",42 years old,1k-5k Employees (India)
363,State Street Cor...,3.8,(1.3k Reviews),Private,"Boston,Massachusetts + 12 more",12 years old,5k-10k Employees (India)
364,BT Group,4.3,(2k Reviews),Private,London + 12 more,176 years old,5k-10k Employees (India)
365,Gabriel India,4.3,(1.1k Reviews),Public,"Pune,Maharashtra + 33 more",61 years old,1k-5k Employees (India)
366,ICICI Securities,3.7,(1.1k Reviews),Public,"Mumbai,Maharashtra + 98 more",27 years old,5k-10k Employees (India)
367,Myntra,4.3,(1.1k Reviews),Private,"Bangalore,Karnataka + 82 more",15 years old,1k-5k Employees (India)
368,Yamaha Motor,3.9,(1.2k Reviews),Private,"Iwata,Shizuoka + 102 more",15 years old,1k-5k Employees (India)
369,Sigma Electric M...,3.9,(1.1k Reviews),Private,"Garner,North Carolina + 18 more",40 years old,1k-5k Employees (India)
370,IKS Health,3.5,(1.1k Reviews),Private,"Mumbai,Maharashtra + 9 more",15 years old,1k-5k Employees (India)
371,Endurance Techno...,3.8,(1.1k Reviews),Public,"Aurangabad,Maharashtra + 28 more",37 years old,1k-5k Employees (India)
372,Hyatt Regency,4.3,(1.1k Reviews),Private,"New Delhi,Delhi + 38 more",42 years old,1k-5k Employees (India)
373,Karvy Data Manag...,3.5,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 87 more",14 years old,1k-5k Employees (India)
374,Oberoi Group of ...,4.2,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 31 more",88 years old,1k-5k Employees (India)
375,Future Generali ...,4.0,(1.1k Reviews),Private,Mumbai + 141 more,15 years old,1k-5k Employees (India)
376,Grasim Industrie...,4.2,(7k Reviews),Public,Nagda + 50 more,75 years old,10k-50k Employees (India)
377,AXA Business Ser...,3.9,(1.1k Reviews),Private,Paris + 5 more,27 years old,1k-5k Employees (India)
378,Kansai Nerolac P...,3.9,(1.1k Reviews),Public,"Mumbai,Maharashtra + 120 more",102 years old,1k-5k Employees (India)
379,BlackBuck,4.0,(1.1k Reviews),Private,"Bangalore,Karnataka + 174 more",7 years old,1k-5k Employees (India)
380,Jet Airways,4.6,(1.1k Reviews),Public,"Mumbai,Maharashtra + 48 more",29 years old,10k-50k Employees (India)
381,Mahindra Logisti...,4.2,(1.1k Reviews),Public,"Mumbai,Maharashtra + 91 more",22 years old,1k-5k Employees (India)
382,Sopra Steria,4.3,(1.1k Reviews),Private,"Paris,Ile-de-France + 9 more",54 years old,1k-5k Employees (India)
383,Kalpataru Power ...,4.1,(1.1k Reviews),Public,"Mumbai,Maharashtra + 135 more",41 years old,1k-5k Employees (India)
384,Lucas-TVS,4.0,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 46 more",61 years old,1k-5k Employees (India)
385,Tata Capital Fin...,4.3,(1.1k Reviews),Public,Mumbai + 122 more,15 years old,1k-5k Employees (India)
386,Bharat Petroleum,4.1,(1.1k Reviews),Private,"Mumbai,Maharashtra + 176 more",70 years old,50k-1 Lakh Employees (India)
387,Cadila Pharmaceu...,4.0,(6.2k Reviews),Public,"Ahmedabad,Gujrat + 94 more",71 years old,5k-10k Employees (India)
388,Piramal Group,4.1,(1.3k Reviews),Private,Mumbai + 96 more,42 years old,1k-5k Employees (India)
389,MetLife,4.4,(1.1k Reviews),Private,New York + 41 more,14 years old,5k-10k Employees (India)
390,Coromandel Inter...,4.2,(1.1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 126 more",61 years old,10k-50k Employees (India)
391,Shell,4.4,(1.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 69 more",18 years old,5k-10k Employees (India)
392,Info Edge,3.9,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 55 more",27 years old,1k-5k Employees (India)
393,CSS Corp,3.7,(1.1k Reviews),Private,"San Jose,California + 20 more",26 years old,5k-10k Employees (India)
394,BA Continuum,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",19 years old,10k-50k Employees (India)
395,JCB,4.0,(1.1k Reviews),Private,"Rocester,Staffordshire + 70 more",77 years old,1k-5k Employees (India)
